NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
43228.0,2,5887.0,0.1063,0.2281,19162.0,0.8798674399,685.0,725.0,99012.0,Santa Clara University
39142.0,2,1091.0,0.1132,0.188,13500.0,0.923566879,730.0,720.0,70465.0,Scripps College
20181.0,2,1972.0,0.4568,0.8829,22000.0,0.6570680628,555.0,535.0,53394.0,Vanguard University of Southern California
25972.0,2,20619.0,0.2112,0.2302,18000.0,0.8019733823,720.0,755.0,89884.0,University of Southern California
26228.0,2,497.0,0.2229,0.71,18000.0,0.923566879,665.0,610.0,47874.0,Thomas Aquinas College
31438.0,2,1238.0,0.1729,0.5155,23250.0,0.8161434978,658.0,653.0,63267.0,Westmont College
19774.0,2,1321.0,0.3557,0.6695,24937.0,0.6729377713,635.0,595.0,60015.0,Whittier College
14305.0,1,1484.0,0.3717,0.4932,19500.0,0.459791283,515.0,515.0,38434.0,Adams State University
13322.0,1,11042.0,0.2564,0.2506,20500.0,0.601254868,575.0,565.0,60077.0,University of Colorado Denver/Anschutz Medical Campus
21771.0,1,30414.0,0.153,0.2472,19500.0,0.7374584357,640.0,640.0,65273.0,University of Colorado Boulder
25211.0,1,5440.0,0.1377,0.381,23000.0,0.9055183946,685.0,705.0,95887.0,Colorado School of Mines
19016.0,1,24344.0,0.2128,0.3386,20000.0,0.7121704117,600.0,585.0,58388.0,Colorado State University-Fort Collins
32618.0,2,5771.0,0.1562,0.3353,21844.0,0.7306397306,655.0,640.0,68764.0,University of Denver
14925.0,1,3260.0,0.3625,0.3117,18389.0,0.5765550239,555.0,530.0,41422.0,Fort Lewis College
15898.0,1,7904.0,0.3096,0.3896,22000.0,0.4893529047,545.0,529.0,43389.0,Colorado Mesa University
13806.0,1,15625.0,0.3245,0.3385,21500.0,0.4776819362,520.0,505.0,49932.0,Metropolitan State University of Denver
16075.0,1,6683.0,0.2615,0.399,20470.0,0.6216042781,555.0,535.0,48942.0,University of Northern Colorado
23916.0,2,2616.0,0.224,0.4395,25000.0,0.6104928458,580.0,570.0,67164.0,Regis University
13999.0,1,3092.0,0.3567,0.5808,21500.0,0.5336236091,520.0,515.0,48674.0,Colorado State University Pueblo
17437.0,1,1722.0,0.1673,0.3001,20250.0,0.6302702703,580.0,555.0,46955.0,Western Colorado University
24416.0,2,1733.0,0.5532,0.7536,25750.0,0.5003162555,520.0,520.0,51396.0,University of Bridgeport
13434.0,1,7616.0,0.3649,0.4603,22300.0,0.6128649418,545.0,520.0,56799.0,Central Connecticut State University
31814.0,2,1811.0,0.1623,0.3903,23500.0,0.9057971014,714.0,691.0,70044.0,Connecticut College
21724.0,1,18362.0,0.2302,0.3638,21500.0,0.7798093248,655.0,675.0,76076.0,University of Connecticut
43569.0,2,4548.0,0.0976,0.5106,26000.0,0.8162208801,655.0,650.0,95393.0,Fairfield University
29932.0,2,3915.0,0.2807,0.6322,27000.0,0.6615384615,595.0,580.0,63870.0,University of Hartford
33109.0,2,4970.0,0.2829,0.8548,27000.0,0.6973575557,605.0,585.0,58152.0,University of New Haven
25776.0,2,895.0,0.3831,0.7483,27000.0,0.6064981949,536.0,573.0,54455.0,University of Saint Joseph
32036.0,2,2143.0,0.1441,0.1495,23000.0,0.8032407407,702.0,705.0,76456.0,Trinity College
26080.0,2,3250.0,0.1711,0.21,17000.0,0.8760757315,700.0,705.0,72547.0,Wesleyan University
16341.0,2,6535.0,0.2141,0.0542,12975.0,0.8607305936,755.0,775.0,95961.0,Yale University
18313.0,1,18707.0,0.1497,0.4471,24572.0,0.8,628.0,620.0,71861.0,University of Delaware
28037.0,2,8158.0,0.1425,0.334,22750.0,0.7885844749,695.0,665.0,75354.0,American University
22616.0,2,998.0,0.4956,0.1708,18000.0,0.5640326975,484.0,478.0,37101.0,Gallaudet University
26272.0,2,10929.0,0.1424,0.2696,20449.0,0.8030700112,700.0,700.0,87548.0,George Washington University
24570.0,2,7395.0,0.1301,0.2134,15500.0,0.881875,735.0,745.0,101797.0,Georgetown University
45837.0,2,8902.0,0.4175,0.5143,24500.0,0.3495055624,600.0,585.0,59441.0,Howard University
7641.0,2,252.0,0.4026,0.2667,23590.0,0.5627705628,509.0,484.0,38772.0,The Baptist College of Florida
11854.0,2,2513.0,0.7272,0.7549,31000.0,0.2113012336,470.0,435.0,38237.0,Bethune-Cookman University
35705.0,2,2632.0,0.2554,0.3286,17940.0,0.5647969052,555.0,560.0,45722.0,Lynn University
18041.0,2,148.0,0.6438,0.6688,21500.0,0.6151960784,470.0,445.0,38008.0,Johnson University Florida
9217.0,1,59710.0,0.3466,0.2626,18190.0,0.5894870661,640.0,620.0,54850.0,University of Central Florida
35156.0,2,6899.0,0.183,0.3266,23666.0,0.6444394213,615.0,620.0,82012.0,Embry-Riddle Aeronautical University-Daytona Beach
12479.0,1,7005.0,0.5638,0.4714,23548.0,0.3422073343,555.0,525.0,43616.0,Florida Agricultural and Mechanical University
7990.0,1,23695.0,0.3638,0.2723,17236.0,0.5458125796,565.0,545.0,53644.0,Florida Atlantic University
23575.0,2,2631.0,0.3018,0.5309,24250.0,0.5905923345,560.0,525.0,46810.0,Flagler College
20918.0,2,528.0,0.2623,0.584,12000.0,0.6946107784,535.0,495.0,44859.0,Florida College
31172.0,2,3219.0,0.2098,0.3761,27000.0,0.3697735192,620.0,620.0,53864.0,Florida Institute of Technology
6232.0,1,39936.0,0.4677,0.3745,16500.0,0.5364827312,590.0,560.0,57946.0,Florida International University
25434.0,2,2741.0,0.2661,0.5624,25000.0,0.6364513018,635.0,613.0,49449.0,Florida Southern College
9561.0,1,33368.0,0.256,0.2342,18000.0,0.6298657394,640.0,620.0,57007.0,Florida State University
3679.0,1,34044.0,0.2344,0.1449,15000.0,0.6880226425,685.0,700.0,69468.0,University of Florida
24748.0,2,2627.0,0.3172,0.4659,22000.0,0.5393474088,580.0,555.0,57255.0,Jacksonville University
30742.0,2,11928.0,0.1503,0.2548,17500.0,0.7333573228,685.0,695.0,71739.0,University of Miami
7159.0,1,13862.0,0.292,0.2505,15531.0,0.5882242991,565.0,540.0,52114.0,University of North Florida
25737.0,2,6578.0,0.3912,0.4571,24250.0,0.4797011208,590.0,585.0,56055.0,Nova Southeastern University
27597.0,2,2274.0,0.2816,0.4208,22500.0,0.5704514364,575.0,560.0,49234.0,Palm Beach Atlantic University
17321.0,2,6456.0,0.4533,0.4543,25278.0,0.356011298,530.0,510.0,47428.0,Saint Leo University
